collection_no,NOW_loc,collection_name,collection_aka,stratgroup,formation,member,cc,cc.1,state,county,early_interval,late_interval,max_ma,min_ma,diff,notes,
18732,CA9,Las Culebras,,,Gracias,,HN,HN,,,Hemphillian,,10.3,4.9,5.4,,
18736,CA9,New Year,,,Gracias,,HN,HN,,,Hemphillian,,10.3,4.9,5.4,,
18739,CA9,Rancho Lobo,,,Gracias,,HN,HN,,,Hemphillian,,10.3,4.9,5.4,,
18750,CA9,Tepusuna Hill,Tapasuma; Tapasuna-Mangual,,Gracias,,HN,HN,,,Hemphillian,,10.3,4.9,5.4,,
18723,CA9,El Carrizal,,,Gracias,,HN,HN,,,Miocene,,23.03,5.333,17.697,,
18741,CA9,Rio Campuca,,,Gracias,,HN,HN,,,Miocene,,23.03,5.333,17.697,,
18743,CA9,Saddle (Honduras),,,Gracias,,HN,HN,,,Miocene,,23.03,5.333,17.697,,
18751,CA9,Three Miles North of Rancho Lobo,,,Gracias,,HN,HN,,,Miocene,,23.03,5.333,17.697,,
15674,CC1,Morena Boulevard (SDSNH 3236),,,,,US,US,California,San Diego,Wasatchian,,55.8,50.3,5.5,,
15675,CC1,Morena Boulevard (SDSNH 3252),,,,,US,US,California,San Diego,Wasatchian,,55.8,50.3,5.5,,
15676,CC1,Morena Boulevard (SDSNH 3253),,,,,US,US,California,San Diego,Wasatchian,,55.8,50.3,5.5,,
15677,CC1,Morena Boulevard (SDSNH 3554),,,,,US,US,California,San Diego,Wasatchian,,55.8,50.3,5.5,,
15678,CC1,Morena Boulevard (SDSNH 3555),,,,,US,US,California,San Diego,Wasatchian,,55.8,50.3,5.5,,
201469,CC10,SDSNH 3470,,,Sweetwater,,US,US,California,San Diego,Late Eocene,,37.2,33.9,3.3,,
201470,CC10,SNSNH 3474,,,Sweetwater,,US,US,California,San Diego,Late Eocene,,37.2,33.9,3.3,,
16530,CC10,Bonita Valley Christian Center,SDSNH Loc. 3608,,Sweetwater,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16529,CC10,Bonita,"SDSNH Loc. 3471, 3821, 3823",,Sweetwater,,US,US,California,San Diego,Late Uintan,Duchesnean,46.2,37.2,9,,
17321,CC10III,Chili Gulch,,,,,US,US,California,Calaveras,Whitneyan,,33.3,30.8,2.5,,
17327,CC10III,Douglas Flat,,,,,US,US,California,Calaveras,Whitneyan,,33.3,30.8,2.5,,
17497,CC12,EastLake,,,Otay,,US,US,California,San Diego,Arikareean,,30.8,20.43,10.37,,
17701,CC13,Tecuya Canyon,"Tecuja Cañon; UCMP 3352, 3353, 3354, 3356, CIT ",,Tecuya,,US,US,California,Kern,Arikareean,,30.8,20.43,10.37,,
19485,CC14,"Pyramid Hill, upper concretion-bearing bed","UCMP V6916, LACM 1628",,Temblor,Jewett,US,US,California,Kern,Aquitanian,,23.03,20.44,2.59,,
11601,CC14,Pyramid Hill Sand Member grit zone,"LACMVP Loc. 1603, 1626, 1627; UCMP Loc. V-7032",,Jewett,Pyramid Hill,US,US,California,Kern,Chattian,,28.1,23.03,5.07,,
17803,CC15,Mint Canyon (UC 3554),,,Tick Canyon,,US,US,California,Los Angeles,Harrisonian,,24.8,20.43,4.37,,
17804,CC15,Mint Canyon (UC 3568),,,Tick Canyon,,US,US,California,Los Angeles,Harrisonian,,24.8,20.43,4.37,,
17851,CC15,Tick Canyon (CIT 199),,,Tick Canyon,,US,US,California,Los Angeles,Arikareean,,30.8,20.43,10.37,,
17852,CC15,Tick Canyon (CIT 201),,,Tick Canyon,,US,US,California,Los Angeles,Arikareean,,30.8,20.43,10.37,,
19144,CC17A,"""A"" Sites",,,Caliente,lower,US,US,California,San Luis Obispo,Miocene,,23.03,5.333,17.697,,
19367,CC17B,Hidden Treasure Spring,UCMP V-5676; Dry Canyon,,Caliente,HTS,US,US,California,Ventura,Hemingfordian,,20.43,15.97,4.46,,
19481,CC17B,Plush Ranch Contact,UCMP V-5679,,Caliente,HTS,US,US,California,Ventura,Hemingfordian,,20.43,15.97,4.46,,
19516,CC17B,Rhino Site,UCMP V-5744; Ballinger Canyon 3,,Caliente,HTS,US,US,California,Ventura,Hemingfordian,,20.43,15.97,4.46,,
19325,CC17B,Dry Canyon East Side 1,UCMP V-5674,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19292,CC17C,Cherty Bonebed,UCMP V-5672; Dry Canyon West Side 8,,Caliente,DS,US,US,California,Ventura,Barstovian,,15.97,13.6,2.37,,
19327,CC17C,Dry Canyon West Side 3,UCMP V-5667,,Caliente,DS,US,US,California,Ventura,Barstovian,,15.97,13.6,2.37,,
19328,CC17C,Dry Canyon West Side 4,UCMP V-5668,,Caliente,DS,US,US,California,Ventura,Barstovian,,15.97,13.6,2.37,,
19329,CC17C,Dry Canyon West Side 5,UCMP V-5669,,Caliente,DS,US,US,California,Ventura,Barstovian,,15.97,13.6,2.37,,
19330,CC17C,Dry Canyon West Side 6,UCMP V-5670,,Caliente,DS,US,US,California,Ventura,Barstovian,,15.97,13.6,2.37,,
19331,CC17C,Dry Canyon West Side 7,UCMP V-5671,,Caliente,DS,US,US,California,Ventura,Barstovian,,15.97,13.6,2.37,,
19332,CC17C,Dry Canyon West Side 9,UCMP V-5673; UCR RV-7067,,Caliente,DS,US,US,California,Ventura,Barstovian,,15.97,13.6,2.37,,
19336,CC17C,Dry Canyon West Side (Site Unknown),,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19326,CC17C,Dry Canyon West Side 1,UCMP V-5665,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19333,CC17C,Dry Canyon West Side 10,UCMP V-5849,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19334,CC17C,Dry Canyon West Side 11,UCMP V-5850,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19335,CC17C,Dry Canyon West Side 12,UCMP V-5851,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19428,CC17C,Lower West Dry Canyon,"LACM 5607, 5608, 5609; UCMP V-6763, 6764, 6765, 6766",,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19597,CC17C,Upper West Dry Canyon,"LACM 5605, 5606",,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19607,CC17C,West Fork of Dry Canyon 1,UCMP V-5675,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19294,CC17C,CIT 315/324,,,,,US,US,California,San Luis Obispo,Miocene,,23.03,5.333,17.697,,
19477,CC17C,Padrones Spring,"CIT 312, 313; Jerd Spring; USGS M-1157",,,,US,US,California,San Luis Obispo,Miocene,,23.03,5.333,17.697,,
19392,CC17D,Kent Quarry,UCMP V-5666; Dry Canyon West Side 2,,Caliente,DS,US,US,California,Ventura,Barstovian,,15.97,13.6,2.37,,
19195,CC17D,Brachycrus Quarry,UCMP V-5824; Upper Dry Canyon 2,,Caliente,UDC,US,US,California,Ventura,Barstovian,,15.97,13.6,2.37,,
19587,CC17D,Upper Dry Canyon 1,UCMP V-5823,,Caliente,UDC,US,US,California,Ventura,Barstovian,,15.97,13.6,2.37,,
19588,CC17D,Upper Dry Canyon 3,UCMP V-5825,,Caliente,UDC,US,US,California,Ventura,Barstovian,,15.97,13.6,2.37,,
19589,CC17D,Upper Dry Canyon 4,UCMP V-5826,,Caliente,UDC,US,US,California,Ventura,Barstovian,,15.97,13.6,2.37,,
19590,CC17D,Upper Dry Canyon 5,UCMP V-5827,,Caliente,UDC,US,US,California,Ventura,Barstovian,,15.97,13.6,2.37,,
19412,CC17D,LACM 5996,,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19426,CC17D,Lower Dome Spring,,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19427,CC17D,Lower Dome Spring (Site Unknown),,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19295,CC17D,CIT 322,,,,,US,US,California,San Luis Obispo,Miocene,,23.03,5.333,17.697,,
19296,CC17D,CIT 323,,,,,US,US,California,San Luis Obispo,Miocene,,23.03,5.333,17.697,,
19413,CC17E,LACM 6008,Upper Dome Spring fauna,,,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19414,CC17E,LACM 6010,Upper Dome Spring fauna,,,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19498,CC17F,Quatal Canyon South Side 14,Doe Spring; UCMP V-5843,,Caliente,DSC,US,US,California,Ventura,Barstovian,,15.97,13.6,2.37,,
19486,CC17F,Quarry Point,UCMP V-5829; Quatal Canyon South Side 1,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19182,CC17G,Big Horse Quarry,UCMP V-5841; Quatal Canyon South Side 12,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19183,CC17G,Big Pine Fault 2,UCMP V-5828,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19276,CC17G,Canyon West of Nettle Spring 1,UCMP V-5844; Apache Canyon 2,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19361,CC17G,Hedgehog Quarry,UCMP V-5656; Quatal Canyon South Side 2,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19455,CC17G,Nettle Spring Canyon 3,UCMP V-5911; Apache Canyon 2,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19467,CC17G,Northwest Amphitheater,UCMP V-5650; Quatal Canyon,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19487,CC17G,Quatal Canyon North Side 1,UCMP V-5651,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19488,CC17G,Quatal Canyon North Side 2,UCMP V-5652,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19495,CC17G,Quatal Canyon South Side 10,UCMP V-5749,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19496,CC17G,Quatal Canyon South Side 11,UCMP V-5750,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19497,CC17G,Quatal Canyon South Side 13,UCMP V-5842,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19499,CC17G,Quatal Canyon South Side 15,UCMP V-5900,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19500,CC17G,Quatal Canyon South Side 16,UCMP V-5901,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19489,CC17G,Quatal Canyon South Side 3,UCMP V-5657; CIT 48 in part,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19490,CC17G,Quatal Canyon South Side 4,UCMP V-5658; CIT 48 in part,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19491,CC17G,Quatal Canyon South Side 5,UCMP V-5659,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19492,CC17G,Quatal Canyon South Side 6,UCMP V-5660,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19494,CC17G,Quatal Canyon South Side 9,UCMP V-5748,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19512,CC17G,Raven's Roost,UCMP V-5747; Quatal Canyon South Side 8,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19541,CC17G,Sequence Canyon 2 (Clarendonian),UCMP V-5664,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19508,CC17G,Quatal Canyon South Side 24,UCMP V-6028,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19148,CC17G,Ballinger Canyon 1,UCMP V-5647,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19149,CC17G,Ballinger Canyon 2,UCMP V-5743,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19150,CC17G,Ballinger Canyon 4,UCMP V-5745,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19181,CC17H,Big Cat Quarry,UCMP V-5847; Upper Nettle Spring Canyon 3,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19591,CC17H,Upper Nettle Spring Canyon 1,UCMP V-5845,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19592,CC17H,Upper Nettle Spring Canyon 2,UCMP V-5846,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19593,CC17H,Upper Nettle Spring Canyon 4,UCMP V-5907,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19594,CC17H,Upper Nettle Spring Canyon 5,UCMP V-5908,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19277,CC17H,Canyon West of Nettle Spring 2,UCMP V-5848; Apache Canyon 3,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19278,CC17H,Canyon West of Nettle Spring 3,UCMP V-5909,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19353,CC17H,Glory Gorge,UCMP V-5703; Canyon West of Nettle Spring 1,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19453,CC17H,Nettle Spring Canyon 1,UCMP V-5662; Apache Canyon 1,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19454,CC17H,Nettle Spring Canyon 2,UCMP V-5746; Apache Canyon 2,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19501,CC17H,Quatal Canyon South Side 17,UCMP V-5902,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19502,CC17H,Quatal Canyon South Side 18,UCMP V-5903,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19503,CC17H,Quatal Canyon South Side 19,UCMP V-5904,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19504,CC17H,Quatal Canyon South Side 20,UCMP V-5905,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19505,CC17H,Quatal Canyon South Side 21,UCMP V-5906,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19506,CC17H,Quatal Canyon South Side 22,UCMP V-5910,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19507,CC17H,Quatal Canyon South Side 23,UCMP V-5912,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19515,CC17H,Remnant Hill,UCMP V-5663; Nettle Spring Canyon; Apache Canyon 2,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19539,CC17H,Sequence Canyon 1,UCMP V-5653,,NS Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19368,CC17H,High Level Quarry,UCMP V-5852,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19456,CC17H,Nettle Spring Canyon (LACM 6106),,,Caliente,,US,US,California,Ventura,Miocene,,23.03,5.333,17.697,,
19493,CC17I,Quatal Canyon South Side 7,UCMP V-5661,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19540,CC17I,Sequence Canyon 2 (Hemphillian),UCMP V-5654,,MR Caliente,,US,US,California,Ventura,Clarendonian,,13.6,10.3,3.3,,
19411,CC17I,Klipstein Ranch 3,UCMP V-5684,,Caliente,Upper,US,US,California,Kern,Hemphillian,,10.3,4.9,5.4,,
19376,CC17I,"""H"" Sites",,,Caliente,,US,US,California,San Luis Obispo,Miocene,,23.03,5.333,17.697,,
19344,CC18A,Fernwood Member,,,Topanga Canyon,,US,US,California,Los Angeles,Miocene,,23.03,5.333,17.697,Using Orange County Topanga Fm. For age only,
19595,CC18B,Upper Oso Dam,"LACM 4464, LACM 4546, 4547, 4961",,Topanga,,US,US,California,Orange,Langhian,,15.97,13.82,2.15,,
107500,CC18B,San Joaquin Hills,,,Topanga,Paularino,US,US,California,Orange,Burdigalian,Langhian,20.44,13.82,6.62,,
19599,CC19,Vedder (UCMP V-6761),,,Branch Canyon,,US,US,California,Santa Barbara,Hemingfordian,,20.43,15.97,4.46,,
19600,CC19,Vedder (UCMP V-69140),,,Branch Canyon,,US,US,California,Santa Barbara,Hemingfordian,,20.43,15.97,4.46,,
19601,CC19,Vedder (USGS M1090),,,Branch Canyon,,US,US,California,Santa Barbara,Hemingfordian,Barstovian,20.43,13.6,6.83,,
16422,CC2,Swami's Point,SDSNH 3542,La Jolla,Delmar,upper,US,US,California,San Diego,Bridgerian,,50.3,46.2,4.1,,
19151,CC20,Barker's Ranch,Barker Ranch,,Temblor,Olcese Sand,US,US,California,Kern,Burdigalian,,20.44,15.97,4.47,,
19198,CC21A,Cache Peak (LACM(CIT) 499),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19206,CC21A,Cache Peak (P-3643),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19230,CC21A,Cache Peak (RV-8252),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19231,CC21A,Cache Peak (RV-8253),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19232,CC21A,Cache Peak (RV-8257),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19478,CC21A,Phillips Ranch,CIT 503; UCMP 2577,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19205,CC21B,Cache Peak (LACM(CIT) 4900),RV-8240,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19197,CC21B,Cache Peak (LACM(CIT) 498),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19202,CC21B,Cache Peak (LACM(CIT) 517),RV-8237,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19207,CC21B,Cache Peak (RV-8201),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19208,CC21B,Cache Peak (RV-8204),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19209,CC21B,Cache Peak (RV-8205),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19210,CC21B,Cache Peak (RV-8206),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19211,CC21B,Cache Peak (RV-8208),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19217,CC21B,Cache Peak (RV-8229),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19218,CC21B,Cache Peak (RV-8230),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19219,CC21B,Cache Peak (RV-8232),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19220,CC21B,Cache Peak (RV-8234),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19221,CC21B,Cache Peak (RV-8235),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19222,CC21B,Cache Peak (RV-8241),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19223,CC21B,Cache Peak (RV-8242),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19224,CC21B,Cache Peak (RV-8244),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19225,CC21B,Cache Peak (RV-8247),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19203,CC21C,Cache Peak (LACM 1546),RV-8210,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19204,CC21C,Cache Peak (LACM 4894),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19199,CC21C,Cache Peak (LACM(CIT) 500),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19200,CC21C,Cache Peak (LACM(CIT) 501),RV-8256,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19201,CC21C,Cache Peak (LACM(CIT) 502),RV-8225,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19212,CC21C,Cache Peak (RV-8212),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19213,CC21C,Cache Peak (RV-8214),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19214,CC21C,Cache Peak (RV-8220),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19215,CC21C,Cache Peak (RV-8224),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19216,CC21C,Cache Peak (RV-8228),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19226,CC21C,Cache Peak (RV-8248),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19227,CC21C,Cache Peak (RV-8249),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19228,CC21C,Cache Peak (RV-8250),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19229,CC21C,Cache Peak (RV-8251),,,Bopesta,,US,US,California,Kern,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19369,CC22A,Highway 138 Borrow Cut,"SBCM 1.103.53, 125-136; Wye",,Crowder,upper Unit 1,US,US,California,San Bernardino,Barstovian,,15.97,13.6,2.37,,
19242,CC22A,Cajon Valley (UCR RV-6765),,,Punchbowl,Unit 2,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19238,CC22A,Cajon Valley (UCMP B-3145),,,Punchbowl,Unit 3,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19241,CC22A,Cajon Valley (UCR RV-6628),,,Punchbowl,Unit 3,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19243,CC22A,Cajon Valley (UCR RV-6766),,,Punchbowl,Unit 3,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19247,CC22A,Cajon Valley (UCR RV-6984),,,Punchbowl,Unit 3,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19248,CC22A,Cajon Valley (UCR RV-6985),,,Punchbowl,Unit 3,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19249,CC22A,Cajon Valley (UCR RV-6986),,,Punchbowl,Unit 3,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19250,CC22A,Cajon Valley (UCR RV-6987),,,Punchbowl,Unit 3,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19251,CC22A,Cajon Valley (UCR RV-6989),,,Punchbowl,Unit 3,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19252,CC22A,Cajon Valley (UCR RV-6990),,,Punchbowl,Unit 3,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19253,CC22A,Cajon Valley (UCR RV-6991),,,Punchbowl,Unit 3,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19254,CC22A,Cajon Valley (UCR RV-6992),,,Punchbowl,Unit 3,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19255,CC22A,Cajon Valley (UCR RV-6993),,,Punchbowl,Unit 3,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19256,CC22A,Cajon Valley (UCR RV-6994),,,Punchbowl,Unit 3,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19319,CC22A,Dip Slope,SBCM 1.103.8; RV-6988; UCMP B-3146,,Punchbowl,Unit 3,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
19536,CC22A,Santa Fe Widening,SBCM 1.103.62,,Cajon Valley Beds,Unit Tcv3,US,US,California,San Bernardino,Miocene,,23.03,5.333,17.697,,
19239,CC22A,Cajon Valley (UCR RV-65256),,,Crowder,,US,US,California,San Bernardino,Miocene,,23.03,5.333,17.697,,
93107,CC22B,UCR RV-7515,,,Punchbowl,,US,US,California,San Diego,Early Barstovian,,15.97,13.6,2.37,"Pagnac 2006 says Puncbowl Fm and Ba1, but only He2 and Ba2 are options in NOW",
19235,CC22B,Cajon Valley (LACM L.400),,,Punchbowl,Unit 5,US,US,California,San Bernardino,Hemingfordian,Barstovian,20.43,13.6,6.83,,
